,title,artist,genre,year,bpm,energy,dance,dB,duration,popularity
80,I Wanna Go,Britney Spears,dance pop,2011,130,55,70,-7,210,64
81,Blow,Kesha,dance pop,2011,120,73,75,-4,220,64
82,You And I,Lady Gaga,dance pop,2011,127,70,52,-5,307,64
83,Judas,Lady Gaga,dance pop,2011,131,93,66,-4,249,63
84,Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126,89,65,-4,232,63
85,Please Don't Go,Mike Posner,dance pop,2011,120,88,70,-4,197,63
86,We Found Love,Rihanna,barbadian pop,2011,128,77,73,-4,215,61
87,Marry The Night,Lady Gaga,dance pop,2011,131,88,61,-4,265,61
88,1+1,Beyoncé,dance pop,2011,63,38,30,-7,274,60
89,Hold It Against Me,Britney Spears,dance pop,2011,133,72,65,-5,229,59
90,I'm Into You,Jennifer Lopez,dance pop,2011,84,75,59,-4,200,59
91,Papi,Jennifer Lopez,dance pop,2011,120,81,71,-5,223,58
92,Cheers (Drink To That),Rihanna,barbadian pop,2011,80,91,58,-4,262,58
93,S&M Remix,Rihanna,barbadian pop,2011,128,81,82,-3,257,54
94,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,95,64,-4,220,52
95,Jar of Hearts,Christina Perri,dance pop,2011,75,35,35,-6,247,50
96,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,86,45,-5,329,49
97,Turning Page,Sleeping At Last,acoustic pop,2011,125,38,30,-8,255,46
98,Super Bass,Nicki Minaj,dance pop,2011,127,74,77,-7,201,38
99,Raise Your Glass,P!nk,dance pop,2011,122,64,68,-7,208,38
100,Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,73,-4,201,31
101,Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,88,50,-4,279,28
102,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,65,-4,231,27
103,Firework,Katy Perry,dance pop,2011,124,83,64,-5,228,25
